case_id,split,scenario_id,diagram_id,node_id,node_type,zone,is_shared_entity,is_alerted,alert_count,max_severity_score,first_alert_time,mean_alert_time,min_time_rank,in_degree,out_degree,total_degree,pagerank,betweenness_centrality,closeness_centrality,is_source_node,is_sink_node,min_undirected_distance_to_alert,mean_undirected_distance_to_alert,directed_reachability_to_alert_count,reverse_reachability_from_alert_count,node_type_priority_score,severity_weighted_alert_score,alert_type_count_cpu,alert_type_count_latency,alert_type_count_packet_drop,alert_type_count_link_errors,alert_type_count_connection_timeout,alert_type_count_auth_errors,alert_type_count_backend_pool_unhealthy,alert_type_count_user_timeout,alert_type_count_other,node_alert_compatibility_score,is_first_alerted_node,is_last_alerted_node,alert_time_span,alert_burst_score,alert_sequence_position_norm,upstream_alert_count,downstream_alert_count,upstream_critical_alert_count,downstream_warning_alert_count,downstream_after_candidate_count,alerts_reachable_downstream_after_candidate,alerts_reachable_upstream_before_candidate,propagation_consistency_score,label_is_root
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-FW-01,firewall,DC Edge,1,1,1,1.0,0,0.0,1,1,1,2,0.07097707130852551,0.05357142857142857,0.4444444444444444,0,0,0,0.5,1,0,0.95,1.0,0,0,1,0,0,0,0,0,0,1.0,1,0,0,1.0,0.0,0,1,0,0,1,1,0,0.7749999999999999,1
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-FW-02,firewall,DC Edge,0,0,0,0.0,999,999.0,3,1,1,2,0.07097707130852551,0.05357142857142857,0.4444444444444444,0,0,2,2.5,0,0,0.95,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0.33999999999999997,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-RTR-01,router,DC Edge,1,0,0,0.0,999,999.0,3,0,2,2,0.04980863331661122,0.0,0.38095238095238093,1,0,1,1.5,2,0,0.9,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,0,2,0,0,2,2,0,0.79,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-CORE-SW-01,switch,DC Core,0,1,1,0.8,3,3.0,2,1,1,2,0.11013865870853803,0.10714285714285714,0.5333333333333333,0,0,0,0.5,0,1,0.7,0.4588028371034407,0,0,0,1,0,0,0,0,0,1.0,0,1,0,1.0,1.0,1,0,1,0,0,0,1,0.275,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-CORE-SW-02,switch,DC Core,0,0,0,0.0,999,999.0,3,1,1,2,0.11013865870853803,0.10714285714285714,0.5333333333333333,0,0,2,2.5,0,0,0.7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0.33999999999999997,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-AGG-SW-01,switch,DC Aggregation,1,0,0,0.0,999,999.0,3,2,3,5,0.23704434976638022,0.26785714285714285,0.6666666666666666,0,0,1,1.5,0,2,0.7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,2,0,1,0,0,0,0,0.13999999999999999,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-SRV-01,server,DC Compute,0,0,0,0.0,999,999.0,3,1,0,1,0.11697185229429377,0.0,0.42105263157894735,0,1,2,2.5,0,2,0.55,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,2,0,1,0,0,0,0,0.13999999999999999,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-SRV-02,server,DC Compute,0,0,0,0.0,999,999.0,3,1,0,1,0.11697185229429377,0.0,0.42105263157894735,0,1,2,2.5,0,2,0.55,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,2,0,1,0,0,0,0,0.13999999999999999,0
topo_enterprise_v3_0000_datacenter_topology,train,enterprise_v3_0000,datacenter_topology,DC-SRV-03,server,DC Compute,0,0,0,0.0,999,999.0,3,1,0,1,0.11697185229429377,0.0,0.42105263157894735,0,1,2,2.5,0,2,0.55,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,1.0,2,0,1,0,0,0,0,0.13999999999999999,0
topo_enterprise_v3_0001_branch_topology,train,enterprise_v3_0001,branch_topology,BR-RTR-01,router,Branch Edge,1,1,1,1.0,0,0.0,1,1,1,2,0.12077429175541829,0.14285714285714285,0.4375,0,0,0,1.5,3,0,0.9,1.0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,1.0,0.0,0,3,0,2,3,3,0,0.8875,1
